CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1,1,19,15000,39,5,1,4
2,1,21,35000,81,2,3,3
3,0,20,86000,6,2,1,1
4,0,23,59000,77,7,0,2
5,0,31,38000,40,3,2,6
6,0,22,58000,76,0,0,2
7,0,35,31000,6,5,1,3
8,0,23,84000,94,5,1,3
9,1,64,97000,3,2,0,3
10,0,30,98000,72,0,1,4
11,1,67,7000,14,2,1,3
12,0,35,93000,99,5,4,4
13,0,58,80000,15,4,0,5
14,0,24,91000,77,7,1,1
15,1,37,19000,13,1,0,1
16,1,22,51000,79,5,1,2
17,0,35,29000,35,6,9,5
18,1,20,89000,66,5,1,6
19,1,52,20000,29,3,1,4
20,0,35,62000,98,0,0,1
21,1,35,96000,35,6,12,1
22,1,25,4000,73,5,3,4
23,0,46,42000,5,0,13,2
24,1,31,71000,73,0,5,2
25,0,54,67000,14,4,1,3
26,1,29,52000,82,0,1,3
27,0,45,68000,32,5,9,8
28,1,35,78000,61,0,1,3
29,0,40,18000,31,0,0,1
30,0,23,20000,87,0,5,4
31,1,60,39000,4,0,0,3
32,0,21,34000,73,1,1,2
33,1,53,59000,4,5,1,3
34,1,18,62000,92,6,9,7
35,0,49,91000,14,7,1,2
36,0,21,95000,81,5,3,4
37,0,42,14000,17,1,5,1
38,0,30,62000,73,5,1,5
39,0,36,9000,26,0,8,2
40,0,20,69000,75,0,8,2
41,0,65,25000,35,0,4,1
42,1,24,85000,92,5,0,2
43,1,48,22000,36,0,14,3
44,0,31,33000,61,0,1,2
45,0,49,72000,28,2,8,1
46,0,24,3000,65,7,4,2
47,0,50,52000,55,0,0,4
48,0,27,71000,47,5,12,1
49,0,29,78000,42,5,0,4
50,0,31,25000,42,2,1,1
51,0,49,88000,52,0,1,2
52,1,33,97000,60,0,1,2
53,0,31,74000,54,0,1,1
54,1,59,68000,60,3,0,2
55,0,50,18000,45,8,1,1
56,1,47,95000,41,0,14,2
57,0,51,71000,50,5,9,4
58,1,69,8000,46,1,8,2
59,0,27,57000,51,0,1,3
60,1,53,89000,46,7,1,6
61,1,70,84000,56,0,0,2
62,1,19,50000,55,0,9,2
63,0,67,50000,52,7,0,3
64,0,54,48000,59,7,1,2
65,1,63,63000,51,7,7,2
66,1,18,9000,59,3,0,2
67,0,43,3000,50,1,0,2
68,0,68,82000,48,0,8,4
69,1,19,81000,59,0,0,4
70,0,32,97000,47,6,2,2
71,1,70,91000,55,5,8,2
72,0,47,9000,42,3,8,2
73,0,60,44000,49,0,0,5
74,0,60,10000,56,5,8,4
75,1,59,89000,47,0,0,4
76,1,26,49000,54,6,0,3
77,0,45,67000,53,1,0,2
78,1,40,99000,48,0,4,3
79,0,23,97000,52,2,2,2
80,0,49,98000,42,9,1,1
81,1,57,52000,51,5,0,4
82,1,38,61000,55,5,6,3
83,1,67,120000,41,0,8,1
84,0,46,34000,44,3,8,4
85,0,21,24000,57,8,1,3
86,1,48,31000,46,5,7,5
87,0,55,11000,58,0,0,3
88,0,22,55000,55,0,5,2
89,0,34,76000,60,3,7,3
90,0,50,56000,46,1,0,2
91,0,68,46000,55,3,0,3
92,1,18,36000,41,0,1,4
93,1,48,88000,49,0,1,2
94,0,40,31000,40,3,1,2
95,0,32,24000,42,0,0,1
96,1,24,80000,52,0,10,1
97,0,47,2000,47,0,0,1
98,0,27,67000,50,0,0,2
99,1,48,58000,42,1,1,2
100,1,20,80000,49,2,3,3
101,0,23,65000,41,0,0,4
102,0,49,4000,48,4,1,7
103,1,67,98000,59,0,0,3
104,1,26,52000,55,4,0,5
105,1,49,86000,56,5,10,2
106,0,21,82000,42,1,1,2
107,0,66,43000,50,6,3,2
108,1,54,78000,46,7,1,1
109,1,68,13000,43,5,6,5
110,1,66,13000,48,5,9,3
111,1,65,34000,52,3,4,4
112,0,19,25000,54,0,0,1
113,0,38,71000,42,1,1,5
114,1,19,2000,46,0,1,1
115,0,18,97000,48,4,0,3
116,0,19,51000,50,4,8,4
117,0,63,9000,43,7,1,1
118,0,49,79000,59,0,0,2
119,0,51,84000,43,9,2,7
120,0,50,87000,57,0,1,2
121,1,27,36000,56,4,0,3
122,0,38,50000,40,4,1,4
123,0,40,97000,58,2,9,4
124,1,39,6000,91,5,1,3
125,0,23,12000,29,3,9,2
126,0,31,46000,77,8,1,2
127,1,43,89000,35,2,0,7
128,1,40,4000,95,0,0,2
129,1,59,38000,11,2,0,2
130,1,38,64000,75,3,8,5
131,1,47,66000,9,4,9,5
132,1,39,26000,75,7,0,2
133,0,25,41000,34,5,6,4
134,0,31,45000,71,0,5,1
135,1,20,89000,5,2,1,2
136,0,29,92000,88,4,5,5
137,0,44,76000,7,0,5,2
138,1,32,85000,73,0,3,4
139,1,19,22000,10,8,8,4
140,0,35,15000,72,0,4,4
141,0,57,32000,5,2,0,2
142,1,32,66000,93,0,0,5
143,0,28,62000,40,1,5,3
144,0,32,85000,87,7,1,2
145,1,25,71000,12,2,0,5
146,1,28,26000,97,8,8,5
147,1,48,52000,36,2,9,2
148,0,32,38000,74,7,1,1
149,0,34,51000,22,5,7,4
150,1,34,90000,90,0,6,3
151,1,43,30000,17,7,0,9
152,1,39,41000,88,2,0,1
153,0,44,17000,20,2,0,2
154,0,38,92000,76,0,2,2
155,0,47,80000,16,5,0,4
156,0,27,10000,89,8,8,4
157,1,37,16000,1,4,1,1
158,0,30,87000,78,0,3,4
159,1,34,66000,1,7,1,2
160,0,30,86000,73,0,3,3
161,0,56,9000,35,0,1,1
162,0,29,50000,83,5,1,5
163,1,19,35000,5,4,0,5
164,0,31,58000,93,5,1,5
165,1,50,47000,26,1,0,2
166,0,36,54000,75,0,5,3
167,1,42,79000,20,6,9,3
168,0,33,83000,95,0,0,5
169,0,36,57000,27,0,0,3
170,1,32,0,63,0,2,2
171,1,40,69000,13,0,3,5
172,1,28,4000,75,4,0,2
173,1,36,79000,10,7,0,2
174,1,36,99000,92,0,5,2
175,0,52,20000,13,7,0,2
176,0,30,28000,86,0,3,4
177,1,58,29000,15,2,11,1
178,1,27,45000,69,5,2,6
179,1,59,86000,14,5,4,3
180,1,35,42000,90,2,8,1
181,0,37,59000,32,0,7,2
182,0,32,61000,86,3,7,5
183,1,46,11000,15,0,7,1
184,0,29,66000,88,0,4,4
185,0,41,39000,39,0,1,1
186,1,30,72000,97,0,6,2
187,0,54,14000,24,7,1,2
188,1,28,44000,68,1,5,3
189,0,41,76000,17,2,8,2
190,0,36,95000,85,0,4,2
191,0,34,92000,23,0,5,3
192,0,32,98000,69,0,8,2
193,1,33,96000,8,4,9,2
194,0,38,45000,91,0,10,4
195,0,47,8000,16,0,7,2
196,0,35,46000,79,4,1,3
197,0,45,78000,28,0,0,2
198,1,32,4000,74,0,1,5
199,1,32,81000,18,4,1,2
200,1,30,33000,83,0,4,2
201,0,21,40000,10,5,0,3
202,1,34,85000,16,5,9,3
203,0,16,60000,0,2,6,8
204,0,76,60000,39,5,4,2
205,0,62,63000,59,3,0,2
206,0,63,10000,52,5,8,3
207,0,19,55000,61,5,0,3
208,1,46,93000,12,0,2,1
209,0,48,15000,7,1,0,2
210,0,80,39000,33,2,9,4
211,0,1,57000,93,2,1,2
212,0,0,22000,92,0,2,1
213,1,86,12000,70,8,2,4
214,1,49,50000,82,7,8,1
215,1,48,95000,68,1,2,4
216,0,46,66000,70,5,3,3
217,1,79,20000,40,1,6,2
218,0,83,35000,99,1,8,2
219,0,66,71000,34,4,9,2
220,0,59,76000,61,9,9,1
221,0,39,84000,33,0,5,3
222,0,95,72000,51,2,4,2
223,1,43,33000,55,0,4,3
224,0,93,93000,37,5,1,5
225,0,40,83000,48,6,4,1
226,0,78,23000,8,2,1,1
227,0,25,40000,77,0,5,4
228,1,76,89000,86,5,9,4
229,1,0,33000,64,8,1,1
230,1,15,94000,30,5,7,2
231,0,6,93000,53,7,8,2
232,1,84,7000,28,5,0,4
233,0,67,18000,88,7,0,2
234,0,78,3000,14,5,0,4
235,0,4,84000,54,0,9,1
236,0,29,62000,34,5,0,4
237,1,91,9000,96,5,1,5
238,1,95,36000,35,9,0,4
239,1,55,37000,74,7,1,4
240,0,14,50000,11,0,1,2
241,1,92,83000,16,4,1,5
242,0,65,79000,17,0,0,3
243,0,84,40000,14,5,1,4
244,0,77,47000,58,0,0,6
245,0,53,4000,20,0,0,4
246,0,28,38000,75,3,7,2
247,1,23,0,96,1,1,3
248,0,32,7000,16,0,1,2
249,0,37,41000,2,0,1,2
250,0,89,65000,0,2,0,5
251,1,80,20000,93,2,1,3
252,0,27,44000,65,1,8,1
253,0,78,3000,14,0,5,4
254,0,86,72000,13,7,7,3
255,0,46,27000,32,2,4,4
256,1,59,85000,49,7,4,2
257,1,12,38000,18,4,10,1
258,1,79,73000,96,6,6,7
259,0,79,64000,64,0,2,3
260,1,26,26000,60,4,6,4
261,0,63,47000,16,0,2,3
262,0,52,35000,85,1,2,6
263,0,32,31000,24,7,2,3
264,0,64,13000,38,2,3,4
265,0,37,79000,10,6,1,7
266,1,7,82000,39,3,2,2
267,0,40,28000,68,0,1,1
268,0,78,36000,79,0,0,3
269,0,34,8000,76,3,6,6
270,0,52,88000,39,0,1,2
271,1,94,91000,36,3,0,4
272,0,1,12000,82,1,0,3
273,0,96,1000,76,3,0,3
274,0,18,143000,99,0,0,2
275,0,37,18000,57,0,1,2
276,1,78,65000,89,7,1,2
277,1,16,9000,88,4,7,4
278,1,93,95000,21,0,1,1
279,0,74,78000,12,2,9,3
280,1,68,48000,73,5,3,3
281,0,32,63000,87,4,1,4
282,0,43,85000,63,8,1,2
283,0,52,43000,58,0,1,3
284,0,63,74000,20,0,1,2
285,0,33,67000,11,5,0,1
286,1,86,59000,40,0,0,1
287,0,85,140000,84,3,1,1
288,0,73,31000,47,5,1,2
289,0,21,5000,91,8,0,1
290,0,93,19000,58,2,1,3
291,1,9,27000,62,3,7,1
292,0,10,68000,80,1,6,3
293,1,11,38000,66,0,8,8
294,0,48,50000,36,2,6,4
295,0,73,80000,73,3,2,2
296,0,66,69000,43,4,9,3
297,0,79,31000,91,2,3,3
298,1,62,87000,41,1,6,2
299,1,17,79000,16,0,1,3
300,1,32,32000,86,3,5,2
301,1,85,153787,100,3,3,3
302,1,31,95851,16,5,5,2
303,0,31,145015,73,5,6,3
304,0,38,148539,7,5,5,2
305,0,90,117319,21,7,1,2
306,0,65,180243,26,8,6,2
307,0,63,165052,12,0,4,2
308,0,61,120487,14,1,0,2
309,1,26,112766,83,2,8,4
310,0,17,156488,65,2,1,4
311,1,56,97562,15,4,5,6
312,0,12,77501,30,2,5,4
313,0,24,118302,100,7,5,1
314,0,13,64277,9,4,9,4
315,1,12,53927,77,1,2,3
316,1,72,93921,93,7,9,2
317,0,54,132046,8,6,4,4
318,1,45,183217,91,0,7,2
319,1,66,182937,44,8,8,1
320,0,27,68272,56,5,8,4
321,1,36,69841,21,2,10,2
322,1,5,69078,60,7,13,1
323,0,89,110667,100,5,2,4
324,1,13,95469,94,1,6,1
325,0,91,102861,40,0,4,1
326,1,16,133551,7,0,3,1
327,0,63,64589,90,2,7,1
328,1,52,152755,39,2,4,2
329,0,37,92313,58,5,1,5
330,0,78,98922,2,0,2,3
331,1,24,165846,33,2,0,4
332,0,4,93713,62,2,3,4
333,1,84,137641,67,5,0,5
334,1,0,173743,96,0,0,4
335,0,67,116126,58,3,10,2
336,0,32,112246,30,5,8,3
337,0,39,69384,75,5,1,5
338,0,68,76529,62,5,0,2
339,0,7,123804,28,1,14,1
340,0,76,68292,55,0,8,2
341,0,84,173185,99,0,3,1
342,1,75,142034,82,3,1,4
343,1,22,107941,61,0,0,1
344,0,90,149840,61,2,1,1
345,0,4,148431,99,5,1,8
346,0,78,126599,84,7,0,3
347,0,58,57180,22,5,9,1
348,0,99,184426,41,0,9,1
349,0,24,151085,39,8,2,5
350,0,88,166107,98,0,13,4
351,0,92,67850,91,0,9,4
352,1,99,173394,4,2,13,1
353,0,51,72303,98,7,7,1
354,1,23,181760,35,5,14,3
355,0,13,146858,75,1,9,1
356,1,22,172923,20,2,6,1
357,0,89,115811,87,6,11,4
358,1,20,184324,51,8,13,5
359,0,72,67353,19,7,9,3
360,1,17,165999,71,5,9,3
361,1,90,164914,18,0,8,3
362,1,99,63364,61,3,1,2
363,0,39,182352,73,2,4,3
364,0,37,148544,56,3,1,2
365,1,46,62833,85,0,1,2
366,1,65,120627,72,5,0,2
367,0,60,130898,30,0,1,1
368,0,93,103130,74,4,12,3
369,1,72,106681,15,5,9,5
370,0,36,87353,25,3,1,5
371,1,52,88046,61,0,8,1
372,0,72,98168,49,3,1,2
373,0,28,178265,5,7,2,1
374,0,48,167232,92,1,6,4
375,1,85,140478,43,1,6,4
376,1,22,159296,83,0,8,1
377,0,30,144043,78,1,1,1
378,1,46,72594,64,0,1,2
379,0,82,180288,77,0,2,2
380,0,73,165734,51,3,0,1
381,1,8,175407,2,0,5,1
382,1,90,70201,8,2,0,2
383,1,34,91503,26,0,0,6
384,0,10,184522,43,0,0,2
385,0,79,143560,83,0,1,3
386,1,83,131574,97,0,1,2
387,0,20,151124,18,0,15,3
388,0,25,67447,5,0,15,2
389,0,26,117454,8,5,16,2
390,0,18,86203,23,1,13,1
391,0,7,136231,10,0,7,1
392,1,1,89144,1,1,12,2
393,1,21,119116,30,0,17,4
394,0,86,163463,31,0,9,4
395,0,75,151696,82,0,15,1
396,1,78,184736,52,7,13,1
397,0,87,70419,69,6,6,4
398,0,8,119104,41,3,14,3
399,1,59,130950,28,4,5,3
400,1,13,140950,77,0,15,2
401,0,55,82285,35,2,16,1
402,0,50,91389,92,5,11,7
403,1,54,186359,95,1,13,2
404,1,13,178989,46,1,14,3
405,1,79,166335,45,2,5,5
406,0,65,119889,11,0,17,6
407,0,51,66852,73,4,15,3
408,1,18,103896,36,4,16,4
409,1,21,187761,87,5,2,3
410,1,37,102717,93,5,7,4
411,1,83,102647,83,3,0,2
412,0,96,113585,31,7,0,4
413,0,65,86509,88,0,0,4
414,1,80,59099,44,8,1,7
415,0,75,135088,5,7,1,5
416,0,87,110870,78,2,1,4
417,0,86,187667,12,0,0,1
418,0,36,124614,25,0,8,5
419,0,78,166492,40,6,9,7
420,0,62,172758,69,3,1,2
421,1,89,122430,19,5,1,1
422,0,56,183540,96,3,0,6
423,0,35,96484,34,0,5,4
424,1,33,112587,71,0,1,4
425,0,58,155672,71,3,7,7
426,0,68,72847,93,0,1,2
427,1,38,71897,32,3,2,3
428,1,31,158479,57,1,1,5
429,1,90,89251,4,3,1,1
430,1,28,179911,24,2,1,1
431,1,1,111558,85,5,7,4
432,1,78,127615,78,4,10,7
433,0,23,50076,32,0,3,5
434,0,25,77779,62,0,4,1
435,1,59,169999,38,2,5,5
436,0,7,106581,76,1,1,7
437,0,24,78223,41,7,0,1
438,1,76,136259,14,9,0,7
439,1,37,153399,93,3,1,6
440,0,6,162858,91,0,0,1
441,0,0,57373,29,9,0,7
442,1,3,133602,47,0,1,1
443,0,95,66322,88,0,0,3
444,0,0,68761,16,7,1,4
445,1,7,70749,86,0,13,3
446,1,54,65874,87,0,7,6
447,1,89,115996,24,2,15,1
448,0,58,67097,91,2,6,1
449,0,12,108027,64,0,13,5
450,1,7,176349,80,5,8,2
451,1,11,88452,40,5,8,6
452,1,74,128266,55,2,7,4
453,0,64,156777,20,5,7,2
454,0,48,123234,50,7,10,7
455,0,8,60790,38,0,1,5
456,0,15,181332,99,0,14,6
457,1,1,187297,7,0,0,1
458,0,21,153885,86,0,6,6
459,1,84,53500,44,8,3,4
460,0,5,69443,28,1,4,6
461,0,47,124072,56,7,0,7
462,0,96,135800,29,5,0,7
463,1,93,120597,96,0,2,4
464,0,16,91358,11,3,1,4
465,1,56,53231,41,8,0,5
466,0,76,156330,31,2,1,2
467,1,0,186002,80,1,15,2
468,0,70,111760,53,4,12,5
469,0,47,143906,12,0,4,3
470,1,13,182410,22,5,11,4
471,1,86,98463,46,6,10,5
472,1,91,93762,28,0,15,7
473,1,97,104582,50,5,8,2
474,1,20,130813,92,0,17,5
475,0,11,59202,92,5,5,4
476,0,28,79968,45,7,9,2
477,1,32,104824,42,0,0,7
478,1,82,188719,30,7,0,6
479,1,39,187536,66,5,3,6
480,1,7,134008,85,3,2,1
481,0,13,176397,71,0,6,3
482,0,34,154888,43,5,9,6
483,1,76,155622,81,5,0,2
484,0,30,62330,60,5,1,1
485,0,69,112838,34,5,1,7
486,1,22,58283,59,6,2,4
487,0,60,77857,81,0,1,6
488,1,66,125024,25,0,0,1
489,0,57,136242,34,0,9,1
490,0,60,81934,81,5,1,4
491,0,59,130511,97,0,3,4
492,0,54,144502,88,7,3,1
493,1,90,63769,6,0,4,2
494,0,14,66760,20,0,0,4
495,0,34,135115,54,3,1,7
496,0,85,179877,17,5,12,4
497,0,83,93351,65,1,1,1
